time,value
00:00,5276.340
00:05,5237.150
00:10,5220.830
00:15,5194.640
00:20,5181.500
00:25,5161.950
00:30,5143.710
00:35,5107.910
00:40,5088.680
00:45,5074.220
00:50,5051.880
00:55,5029.670
01:00,4997.330
01:05,4964.180
01:10,4929.290
01:15,4908.730
01:20,4896.480
01:25,4869.690
01:30,4848.460
01:35,4817.880
01:40,4791.570
01:45,4758.040
01:50,4746.120
01:55,4723.790
02:00,4686.010
02:05,4673.360
02:10,4645.360
02:15,4612.250
02:20,4586.280
02:25,4571.130
02:30,4543.980
02:35,4538.200
02:40,4523.190
02:45,4498.160
02:50,4463.410
02:55,4448.860
03:00,4440.730
03:05,4406.140
03:10,4372.620
03:15,4369.970
03:20,4323.710
03:25,4311.520
03:30,4287.400
03:35,4280.130
03:40,4263.350
03:45,4225.960
03:50,4214.080
03:55,4193.060
04:00,4189.870
04:05,4169.900
04:10,4126.230
04:15,4116.460
04:20,4104.100
04:25,4098.370
04:30,4089.630
04:35,4066.170
04:40,4036.600
04:45,4003.770
04:50,4006.420
04:55,3991.780
05:00,3983.130
05:05,3969.280
05:10,3961.280
05:15,3968.170
05:20,3954.740
05:25,3937.560
05:30,3908.350
05:35,3883.770
05:40,3858.000
05:45,3853.210
05:50,3848.030
05:55,3855.450
06:00,3853.940
06:05,3841.930
06:10,3863.380
06:15,3875.790
06:20,3893.190
06:25,3895.400
06:30,3898.010
06:35,3893.020
06:40,3876.340
06:45,3849.320
06:50,3870.370
06:55,3828.740
07:00,3855.010
07:05,3853.120
07:10,3852.960
07:15,3833.760
07:20,3821.800
07:25,3849.830
07:30,3816.800
07:35,3850.670
07:40,3833.950
07:45,3827.360
07:50,3833.710
07:55,3810.710
08:00,3841.550
08:05,3849.130
08:10,3884.270
08:15,3884.190
08:20,3924.490
08:25,3923.590
08:30,3959.560
08:35,3941.270
08:40,4009.250
08:45,3971.170
08:50,3988.140
08:55,3993.910
09:00,4071.560
09:05,4089.510
09:10,4127.610
09:15,4202.020
09:20,4260.460
09:25,4279.130
09:30,4385.360
09:35,4403.590
09:40,4479.080
09:45,4518.160
09:50,4512.590
09:55,4584.170
10:00,4636.890
10:05,4680.260
10:10,4668.220
10:15,4696.800
10:20,4740.890
10:25,4815.010
10:30,4803.610
10:35,4776.350
10:40,4810.640
10:45,4860.610
10:50,4886.220
10:55,4899.490
11:00,4922.710
11:05,4946.880
11:10,4987.530
11:15,4980.450
11:20,4986.350
11:25,4986.190
11:30,5013.590
11:35,5009.240
11:40,5022.100
11:45,5061.450
11:50,5015.230
11:55,5049.980
12:00,5035.320
12:05,5028.360
12:10,5025.520
12:15,4996.970
12:20,4993.460
12:25,4937.810
12:30,4954.890
12:35,4938.850
12:40,4943.940
12:45,4897.200
12:50,4916.710
12:55,4910.950
13:00,4853.810
13:05,4783.110
13:10,4787.520
13:15,4780.280
13:20,4768.840
13:25,4789.330
13:30,4802.850
13:35,4857.040
13:40,4870.540
13:45,4952.320
13:50,4991.630
13:55,4998.350
14:00,5084.950
14:05,5134.450
14:10,5132.030
14:15,5195.290
14:20,5214.270
14:25,5270.530
14:30,5327.300
14:35,5375.210
14:40,5384.040
14:45,5440.180
14:50,5460.980
14:55,5443.700
15:00,5461.130
15:05,5448.780
15:10,5467.130
15:15,5466.500
15:20,5481.920
15:25,5525.110
15:30,5472.020
15:35,5503.960
15:40,5495.700
15:45,5460.350
15:50,5459.660
15:55,5446.060
16:00,5431.250
16:05,5437.100
16:10,5401.260
16:15,5397.500
16:20,5400.230
16:25,5368.690
16:30,5367.240
16:35,5343.290
16:40,5297.130
16:45,5294.540
16:50,5263.140
16:55,5237.620
17:00,5247.770
17:05,5221.800
17:10,5182.700
17:15,5174.140
17:20,5114.440
17:25,5100.080
17:30,5064.400
17:35,5066.360
17:40,4985.280
17:45,4967.320
17:50,4987.350
17:55,4951.810
18:00,4869.710
18:05,4871.750
18:10,4814.130
18:15,4815.550
18:20,4795.640
18:25,4774.510
18:30,4746.220
18:35,4698.340
18:40,4698.670
18:45,4741.180
18:50,4703.340
18:55,4717.230
19:00,4720.180
19:05,4670.410
19:10,4661.230
19:15,4708.780
19:20,4672.160
19:25,4718.940
19:30,4733.900
19:35,4700.090
19:40,4692.890
19:45,4694.010
19:50,4685.780
19:55,4705.540
20:00,4688.920
20:05,4680.640
20:10,4633.990
20:15,4638.670
20:20,4673.550
20:25,4663.190
20:30,4666.320
20:35,4641.370
20:40,4668.220
20:45,4626.230
20:50,4657.270
20:55,4637.490
21:00,4638.380
21:05,4620.760
21:10,4635.520
21:15,4640.060
21:20,4718.220
21:25,4726.720
21:30,4755.190
21:35,4799.680
21:40,4790.470
21:45,4869.630
21:50,4899.850
21:55,4956.690
22:00,4991.030
22:05,4997.940
22:10,5026.670
22:15,5061.700
22:20,5118.090
22:25,5123.650
22:30,5184.290
22:35,5227.440
22:40,5285.590
22:45,5311.580
22:50,5309.260
22:55,5359.720
23:00,5369.640
23:05,5340.260
23:10,5356.800
23:15,5376.490
23:20,5380.770
23:25,5388.780
23:30,5394.640
23:35,5390.800
23:40,5415.260
23:45,5403.440
23:50,5368.130
